text,label
"which is the Easy to navigate by the user, with a mean score of 4.19. The researchers",body_text
results,heading_results
"Cortez, J. M., Ishii, J. G., Ongkiko, A. R., Ortega, C. R., Malang, B. P. & Vigonte, F. G.",body_text
"Cavite, where he participated in cheer dances as a member of the dance club and he",body_text
"and was awarded Best in Computer. In junior high school, he spent his first year at",body_text
"at the Manila Doctors Hospital located in Manila, and now resides in Molino V, City of",body_text
"City, and now resides at Blk 13 Lot 10 Annex A Malagasang-1G, Imus Cavite. He is",body_text
"thankful for his guidance for without it, we would not have been able to push through",body_text
TABLE OF CONTENTS.............................................................................................vii,heading_other
INTRODUCTION..........................................................................................................1,heading_intro
Research Design..................................................................................................23,heading_methods
RESULTS AND DISCUSSION...................................................................................29,heading_results
Discussion of the Methodology Phases................................................................29,heading_results
REFERENCES......................................................................................................................40,heading_other
APPENDICES............................................................................................................ 43,heading_other
"use, an amount of methods that are to be used to exploit and cause disruption for",body_text
the security of their own personal data and alongside it is the burden for the user to,body_text
"files covertly, but how is it going to guarantee that the executable files do not get",body_text
3.​ Any data can be embedded in the image and would be converted as PNG for,body_text
the LSB algorithm. The application will convert the image given by the user to a PNG,body_text
the LSB  process then parses it in an image given by the user and will only be able to,body_text
provided by the user to the image chosen also by the user. It will then assign the user,body_text
the key of the encrypted image and will be asked by the application that the recipient,body_text
result for the initial survey will only be limited to 40 people due to intensity of weather,body_text
Introduction to digital image steganography,heading_intro
"capacity of up to five LSB layers, are used as cover media in order to reduce",body_text
"(SSIM) approaching 1.0, and facilitates the embedding of up to 25% of the size of the",body_text
"Cipher (up to 26.3%) and ""t"" or ""p"" in ECC (up to 4.3%). These observations are a",body_text
existence of data by hiding it in plain sight or to be in common address of access for,body_text
be needed in the hidden process. The same key (or related one) is usually needed to,body_text
"it uses the method of hiding sensitive data in another file such as an image, video or",body_text
the system were identified and the and is a crucial part of the initiation process. This,body_text
"O. F. A. Wahab, A. A. M. Khalaf, A. I. Hussein and H. F. A. Hamed, (2021) ""Hiding",body_text
"Mendoza, R. G. A., Antonio, M. R. C., Dioses, R. M., Morano, J. C., & Blanco, M. C.",body_text
"Naji, A. W., et al. (2009) “Novel Framework for Hidden Data in the Image Page within",body_text
